uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
518888	|	736027	|	Eustrongylides sp. 57 XF-2009	|	species	|	ncbi:756558	|	Eustrongylides sp. 57 XF-2009 (ncbi:756558)	|		|	
518887	|	736027	|	Eustrongylides sp. 50 XF-2009	|	species	|	ncbi:756551	|	Eustrongylides sp. 50 XF-2009 (ncbi:756551)	|		|	
518886	|	736027	|	Eustrongylides sp. 5 XF-2009	|	species	|	ncbi:756550	|	Eustrongylides sp. 5 XF-2009 (ncbi:756550)	|		|	
518885	|	736027	|	Eustrongylides sp. 52 XF-2009	|	species	|	ncbi:756553	|	Eustrongylides sp. 52 XF-2009 (ncbi:756553)	|		|	
518884	|	736027	|	Eustrongylides sp. 51 XF-2009	|	species	|	ncbi:756552	|	Eustrongylides sp. 51 XF-2009 (ncbi:756552)	|		|	
518883	|	736027	|	Eustrongylides sp. 54 XF-2009	|	species	|	ncbi:756555	|	Eustrongylides sp. 54 XF-2009 (ncbi:756555)	|		|	
518882	|	736027	|	Eustrongylides sp. 53 XF-2009	|	species	|	ncbi:756554	|	Eustrongylides sp. 53 XF-2009 (ncbi:756554)	|		|	
518881	|	736027	|	Eustrongylides sp. 56 XF-2009	|	species	|	ncbi:756557	|	Eustrongylides sp. 56 XF-2009 (ncbi:756557)	|		|	
518880	|	736027	|	Eustrongylides sp. 55 XF-2009	|	species	|	ncbi:756556	|	Eustrongylides sp. 55 XF-2009 (ncbi:756556)	|		|	
468688	|	736027	|	Eustrongylides sp. 76 XF-2009	|	species	|	ncbi:756579	|	Eustrongylides sp. 76 XF-2009 (ncbi:756579)	|		|	
468687	|	736027	|	Eustrongylides sp. 75 XF-2009	|	species	|	ncbi:756578	|	Eustrongylides sp. 75 XF-2009 (ncbi:756578)	|		|	
468686	|	736027	|	Eustrongylides sp. 74 XF-2009	|	species	|	ncbi:756577	|	Eustrongylides sp. 74 XF-2009 (ncbi:756577)	|		|	
468685	|	736027	|	Eustrongylides sp. 73 XF-2009	|	species	|	ncbi:756576	|	Eustrongylides sp. 73 XF-2009 (ncbi:756576)	|		|	
468684	|	736027	|	Eustrongylides sp. 72 XF-2009	|	species	|	ncbi:756575	|	Eustrongylides sp. 72 XF-2009 (ncbi:756575)	|		|	
468683	|	736027	|	Eustrongylides sp. 71 XF-2009	|	species	|	ncbi:756574	|	Eustrongylides sp. 71 XF-2009 (ncbi:756574)	|		|	
468682	|	736027	|	Eustrongylides sp. 70 XF-2009	|	species	|	ncbi:756573	|	Eustrongylides sp. 70 XF-2009 (ncbi:756573)	|		|	
468681	|	736027	|	Eustrongylides sp. 7 XF-2009	|	species	|	ncbi:756572	|	Eustrongylides sp. 7 XF-2009 (ncbi:756572)	|		|	
468680	|	736027	|	Eustrongylides sp. 69 XF-2009	|	species	|	ncbi:756571	|	Eustrongylides sp. 69 XF-2009 (ncbi:756571)	|		|	
468679	|	736027	|	Eustrongylides sp. 68 XF-2009	|	species	|	ncbi:756570	|	Eustrongylides sp. 68 XF-2009 (ncbi:756570)	|		|	
418077	|	736027	|	Eustrongylides sp. 18 XF-2009	|	species	|	ncbi:756515	|	Eustrongylides sp. 18 XF-2009 (ncbi:756515)	|		|	
418076	|	736027	|	Eustrongylides sp. 17 XF-2009	|	species	|	ncbi:756514	|	Eustrongylides sp. 17 XF-2009 (ncbi:756514)	|		|	
418075	|	736027	|	Eustrongylides sp. 2 XF-2009	|	species	|	ncbi:756517	|	Eustrongylides sp. 2 XF-2009 (ncbi:756517)	|		|	
418074	|	736027	|	Eustrongylides sp. 19 XF-2009	|	species	|	ncbi:756516	|	Eustrongylides sp. 19 XF-2009 (ncbi:756516)	|		|	
418073	|	736027	|	Eustrongylides sp. 14 XF-2009	|	species	|	ncbi:756511	|	Eustrongylides sp. 14 XF-2009 (ncbi:756511)	|		|	
418072	|	736027	|	Eustrongylides sp. 13 XF-2009	|	species	|	ncbi:756510	|	Eustrongylides sp. 13 XF-2009 (ncbi:756510)	|		|	
418071	|	736027	|	Eustrongylides sp. 16 XF-2009	|	species	|	ncbi:756513	|	Eustrongylides sp. 16 XF-2009 (ncbi:756513)	|		|	
418070	|	736027	|	Eustrongylides sp. 15 XF-2009	|	species	|	ncbi:756512	|	Eustrongylides sp. 15 XF-2009 (ncbi:756512)	|		|	
418069	|	736027	|	Eustrongylides sp. 21 XF-2009	|	species	|	ncbi:756519	|	Eustrongylides sp. 21 XF-2009 (ncbi:756519)	|		|	
418068	|	736027	|	Eustrongylides sp. 20 XF-2009	|	species	|	ncbi:756518	|	Eustrongylides sp. 20 XF-2009 (ncbi:756518)	|		|	
368227	|	736027	|	Eustrongylides sp. 4 XF-2009	|	species	|	ncbi:756539	|	Eustrongylides sp. 4 XF-2009 (ncbi:756539)	|		|	
368226	|	736027	|	Eustrongylides sp. 39 XF-2009	|	species	|	ncbi:756538	|	Eustrongylides sp. 39 XF-2009 (ncbi:756538)	|		|	
368223	|	736027	|	Eustrongylides sp. 34 XF-2009	|	species	|	ncbi:756533	|	Eustrongylides sp. 34 XF-2009 (ncbi:756533)	|		|	
368222	|	736027	|	Eustrongylides sp. 33 XF-2009	|	species	|	ncbi:756532	|	Eustrongylides sp. 33 XF-2009 (ncbi:756532)	|		|	
368221	|	736027	|	Eustrongylides sp. 32 XF-2009	|	species	|	ncbi:756531	|	Eustrongylides sp. 32 XF-2009 (ncbi:756531)	|		|	
368220	|	736027	|	Eustrongylides sp. 31 XF-2009	|	species	|	ncbi:756530	|	Eustrongylides sp. 31 XF-2009 (ncbi:756530)	|		|	
